Creating dir `./slack_dump_pdfs/` for slack dump PDFs
11  new PDFs loaded, skipped 0
         23862625 function calls (23302544 primitive calls) in 16.103 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2939    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:198(cb)
     3013    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
  3586/21    0.003    0.000    3.608    0.172 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    22708    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:275(_load_module_shim)
     2943    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:357(__init__)
     5473    0.004    0.000    0.041    0.000 <frozen importlib._bootstrap>:391(cached)
     9504    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:404(parent)
     2818    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:412(has_location)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
     2692    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:48(_new_module)
     2818    0.014    0.000    0.073    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
2818/2802    0.006    0.000    0.596    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
  2808/17    0.013    0.000    3.609    0.212 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:709(_load)
     2939    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:71(__init__)
     2924    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:746(find_spec)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:778(exec_module)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
     2896    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:826(find_spec)
     8858    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:893(__enter__)
     8858    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:897(__exit__)
     2924    0.020    0.000    0.215    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
  2976/27    0.012    0.000    3.613    0.134 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     2690    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1053(load_module)
     2702    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
     2691    0.008    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1079(get_resource_reader)
     2690    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    94/92    0.000    0.000    0.491    0.005 <frozen importlib._bootstrap_external>:1174(create_module)
    94/60    0.000    0.000    0.288    0.005 <frozen importlib._bootstrap_external>:1182(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1219(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
      7/5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
